Runtime,Version,Bug type,Bug title,Bug URL,Submission Date,Resolved Date,Status,Labels,Confirmed
Bun,1.3.11,Cross runtime,Crash: ffi-napi call triggers unsupported libuv function (uv_thread_self) and aborts Bun,https://github.com/oven-sh/bun/issues/29223,12-04-2026,,Open,crash,✓
Bun,1.3.11,Cross runtime,ReadableStreamBYOBReader from node:stream/web is not a native class in Bun ,https://github.com/oven-sh/bun/issues/29225,12-04-2026,15-04-2026,Closed as completed,bug,✓
Bun,1.3.11,Cross runtime,Inconsistent IP version preference in Bun node:dns.lookup,https://github.com/oven-sh/bun/issues/29227,12-04-2026,,Open,bug,✓
Deno,2.7.12,Cross runtime,Deno does not detect MongoMemoryServer export in npm:mongodb-memory-server,https://github.com/denoland/deno/issues/33257,13-04-2026,14-05-2026,Closed as completed,"node resolution, bug",✓
Bun,1.3.11,Regression,npm package jsdoc throws error in Bun but not in Node,https://github.com/oven-sh/bun/issues/29253,13-04-2026,,Open,bug,✓
Deno,2.7.12,Cross runtime,npm package jsdoc throws error in Deno but not in Node ,https://github.com/denoland/deno/issues/33258,13-04-2026,15-04-2026,Closed as duplicate,"node compat, bug",✓
Bun,1.3.11,Regression,"File.type incorrectly appends charset parameter (e.g. ""text/plain;charset=utf-8"")",https://github.com/oven-sh/bun/issues/29257,13-04-2026,17-04-2026,Closed as duplicate,bug,✓
Bun,1.3.11,Regression,Bun crashes when loading ffi-napi due to missing libuv support (uv_thread_self) ,https://github.com/oven-sh/bun/issues/29260,13-04-2026,,Open,bug,✓
Deno,2.7.12,Cross runtime,node:crypto Hash.digest() throws ERR_CRYPTO_HASH_FINALIZED after stream.pipeline,https://github.com/denoland/deno/issues/33264,13-04-2026,25-04-2026,Closed as completed,"node compat, bug",✓
Deno,2.7.12,Cross runtime,node:http Server does not inherit from node:net Server (instanceof mismatch vs Node.js),https://github.com/denoland/deno/issues/33288,15-04-2026,17-04-2026,Closed as completed,"node compat, bug",✓
Deno,2.7.12,Cross runtime,crypto.verify throws Invalid PEM error on Deno,https://github.com/denoland/deno/issues/33291,16-04-2026,18-04-2026,Closed as completed,"node compat, bug",✓
Bun,1.3.11,Regression,crypto.verify throws Invalid PEM error on Bun,https://github.com/oven-sh/bun/issues/29370,16-04-2026,,Open,bug,✓
